发送时间戳,当前时间戳,延迟差(ms)
1733300549948,1733300550008,60
1733300549958,1733300550008,50
1733300549952,1733300550009,57
1733300549945,1733300550009,64
1733300549773,1733300550009,236
1733300549937,1733300550009,72
1733300549955,1733300550010,55
1733300549980,1733300550010,30
1733300549975,1733300550012,37
1733300549993,1733300550012,19
1733300549920,1733300550013,93
1733300549901,1733300550013,112
1733300549908,1733300550013,105
1733300549921,1733300550013,92
1733300549958,1733300550015,57
1733300549923,1733300550016,93
1733300549940,1733300550016,76
1733300549903,1733300550018,115
1733300549956,1733300550018,62
1733300549942,1733300550018,76
1733300549890,1733300550018,128
1733300549769,1733300550018,249
1733300549947,1733300550019,72
1733300549935,1733300550019,84
1733300549897,1733300550020,123
1733300549963,1733300550020,57
1733300549926,1733300550021,95
1733300549781,1733300550021,240
1733300549942,1733300550021,79
1733300549868,1733300550021,153
1733300549927,1733300550034,107
1733300549933,1733300550034,101
1733300549978,1733300550034,56
1733300549999,1733300550034,35
1733300549994,1733300550035,41
1733300549851,1733300550035,184
1733300549951,1733300550035,84
1733300549963,1733300550039,76
1733300549963,1733300550042,79
1733300549998,1733300550042,44
1733300549998,1733300550044,46
1733300550002,1733300550046,44
1733300549926,1733300550046,120
1733300549989,1733300550046,57
1733300550000,1733300550047,47
1733300549964,1733300550047,83
1733300550007,1733300550047,40
1733300550003,1733300550047,44
1733300549989,1733300550048,59
1733300550012,1733300550048,36
1733300550003,1733300550048,45
1733300550002,1733300550048,46
1733300550001,1733300550049,48
1733300550006,1733300550049,43
1733300550014,1733300550049,35
1733300550022,1733300550049,27
1733300550005,1733300550050,45
1733300550022,1733300550050,28
1733300550003,1733300550050,47
1733300550021,1733300550050,29
1733300550025,1733300550050,25
1733300549680,1733300550051,371
1733300549828,1733300550051,223
1733300550026,1733300550051,25
1733300549948,1733300550051,103
1733300550022,1733300550052,30
1733300549844,1733300550052,208
1733300550027,1733300550052,25
1733300550035,1733300550053,18
1733300550032,1733300550053,21
1733300550035,1733300550053,18
1733300550030,1733300550053,23
1733300549985,1733300550053,68
1733300550033,1733300550054,21
1733300550021,1733300550055,34
1733300549884,1733300550055,171
1733300550016,1733300550055,39
1733300550008,1733300550055,47
1733300550041,1733300550056,15
1733300549962,1733300550056,94
1733300550018,1733300550056,38
1733300550044,1733300550057,13
1733300549883,1733300550057,174
1733300549684,1733300550057,373
1733300549711,1733300550057,346
1733300549831,1733300550058,227
1733300550027,1733300550058,31
1733300550003,1733300550058,55
1733300550045,1733300550059,14
1733300550036,1733300550059,23
1733300550026,1733300550059,33
1733300549995,1733300550060,65
1733300550050,1733300550061,11
1733300550044,1733300550061,17
1733300550037,1733300550061,24
1733300550041,1733300550062,21
1733300549868,1733300550062,194
1733300549833,1733300550062,229
1733300550047,1733300550062,15
1733300550049,1733300550062,13
1733300550053,1733300550063,10
1733300549897,1733300550063,166
1733300550055,1733300550063,8
1733300549995,1733300550063,68
1733300549911,1733300550063,152
1733300550058,1733300550064,6
1733300549927,1733300550064,137
1733300549916,1733300550065,149
1733300550060,1733300550067,7
1733300549953,1733300550067,114
1733300549922,1733300550067,145
1733300550061,1733300550068,7
1733300550014,1733300550068,54
1733300550023,1733300550068,45
1733300550063,1733300550068,5
1733300549926,1733300550068,142
1733300549904,1733300550069,165
1733300549897,1733300550069,172
1733300549959,1733300550069,110
1733300549927,1733300550069,142
1733300549835,1733300550069,234
1733300549923,1733300550069,146
1733300549882,1733300550069,187
1733300549963,1733300550070,107
1733300549967,1733300550070,103
1733300550009,1733300550070,61
1733300550034,1733300550070,36
1733300549987,1733300550072,85
1733300550066,1733300550073,7
1733300549960,1733300550073,113
1733300550028,1733300550074,46
1733300550046,1733300550074,28
1733300550067,1733300550074,7
1733300550067,1733300550075,8
1733300550025,1733300550075,50
1733300550017,1733300550075,58
1733300550070,1733300550076,6
1733300550068,1733300550076,8
1733300550072,1733300550076,4
1733300550072,1733300550076,4
1733300550073,1733300550076,3
1733300550026,1733300550077,51
1733300550073,1733300550077,4
1733300549929,1733300550078,149
1733300550074,1733300550078,4
1733300550040,1733300550078,38
1733300550074,1733300550078,4
1733300550075,1733300550079,4
1733300550058,1733300550079,21
1733300550076,1733300550079,3
1733300550077,1733300550079,2
1733300550078,1733300550081,3
1733300550078,1733300550082,4
1733300550080,1733300550084,4
1733300550081,1733300550085,4
1733300550082,1733300550085,3
1733300550083,1733300550086,3
1733300550083,1733300550086,3
1733300550085,1733300550087,2
1733300550086,1733300550089,3
1733300550086,1733300550089,3
1733300550086,1733300550089,3
1733300550088,1733300550090,2
1733300550092,1733300550096,4
1733300550094,1733300550097,3
1733300550096,1733300550099,3
1733300550095,1733300550099,4
1733300550096,1733300550099,3
1733300550095,1733300550100,5
1733300550096,1733300550100,4
1733300550097,1733300550100,3
1733300550097,1733300550100,3
1733300550102,1733300550105,3
1733300550101,1733300550105,4
1733300550102,1733300550106,4
1733300550104,1733300550110,6
1733300550106,1733300550113,7
1733300550108,1733300550113,5
1733300550105,1733300550113,8
1733300550106,1733300550114,8
1733300550109,1733300550114,5
1733300550113,1733300550116,3
1733300550111,1733300550125,14
1733300550110,1733300550126,16
1733300550103,1733300550128,25
1733300550121,1733300550130,9
1733300550111,1733300550131,20
1733300550118,1733300550131,13
1733300550095,1733300550131,36
1733300550114,1733300550131,17
1733300550118,1733300550131,13
1733300550121,1733300550131,10
1733300550119,1733300550132,13
1733300550115,1733300550132,17
1733300550127,1733300550136,9
1733300550127,1733300550137,10
